epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,29,,,289.45709228515625,87824536.0,685.0399169921875,0.4974547028541565,158.8534698486328
0,29,164.5854949951172,,,,,,
1,49,,159.27923583984375,,,,,
1,59,,,309.92730712890625,60337544.0,728.8040771484375,0.4865918755531311,162.7099151611328
1,59,166.914794921875,,,,,,
2,89,,,279.8315124511719,65229992.0,664.8659057617188,0.45986485481262207,154.10565185546875
2,89,151.89234924316406,,,,,,
3,99,,207.315185546875,,,,,
3,119,,,297.5427551269531,54733252.0,695.9810180664062,0.4846261143684387,154.48648071289062
3,119,157.0688018798828,,,,,,
4,149,,112.75808715820312,,,,,
4,149,,,298.8992614746094,47734608.0,681.9987182617188,0.5318020582199097,157.49684143066406
4,149,155.0135955810547,,,,,,
